Column1,city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
0,Adelanto,34.57611111,-117.4327778,875,2871,31765,56.027,56.009,0.018,145.107,145.062,0.046,0.03
1,AgouraHills,34.15333333,-118.7616667,281,922,20330,7.822,7.793,0.029,20.26,20.184,0.076,0.37
2,Alameda,37.75611111,-122.2744444,,33,75467,22.96,10.611,12.349,59.465,27.482,31.983,53.79
3,Albany,37.88694444,-122.2977778,,43,18969,5.465,1.788,3.677,14.155,4.632,9.524,67.28
4,Alhambra,34.08194444,-118.135,150,492,83089,7.632,7.631,0.001,19.766,19.763,0.003,0.01
5,AlisoViejo,33.575,-117.7255556,127,417,47823,7.472,7.472,0,19.352,19.352,0,0
6,Alturas,41.48722222,-120.5425,1332,4370,2827,2.449,2.435,0.014,6.342,6.306,0.036,0.57
7,AmadorCity,38.41944444,-120.8241667,280,919,185,0.314,0.314,0,0.813,0.813,0,0
8,AmericanCanyon,38.16805556,-122.2525,14,46,19454,4.845,4.837,0.008,12.548,12.527,0.021,0.17
9,Anaheim,33.83611111,-117.8897222,48,157,336000,50.811,49.835,0.976,131.6,129.073,2.527,1.92
10,Anderson,40.45222222,-122.2966667,132,430,9932,6.62,6.372,0.248,17.145,16.504,0.642,3.74
11,AngelsCamp,38.06833333,-120.5397222,420,1378,3836,3.637,3.628,0.009,9.421,9.397,0.024,0.25
12,Antioch,38.005,-121.8058333,13,43,107100,29.083,28.349,0.734,75.324,73.422,1.902,2.52
13,AppleValley,34.51666667,-117.2166667,898,2946,69135,73.523,73.193,0.33,190.426,189.57,0.856,0.45
14,Arcadia,34.13277778,-118.0363889,147,482,56364,11.133,10.925,0.208,28.836,28.296,0.54,1.87
15,Arcata,40.86638889,-124.0827778,,23,17231,10.994,9.097,1.897,28.473,23.561,4.912,17.25
16,ArroyoGrande,35.12083333,-120.5866667,36,118,17716,5.835,5.835,0,15.113,15.113,0,0
17,Artesia,33.86722222,-118.0805556,16,52,16522,1.621,1.621,0,4.197,4.197,0,0
18,Arvin,35.20916667,-118.8283333,137,449,19304,4.819,4.819,0,12.482,12.482,0,0
19,Atascadero,35.48416667,-120.6725,268,879,28310,26.13,25.641,0.489,67.675,66.409,1.265,1.87
20,Atherton,37.45861111,-122.2,18,59,6914,5.049,5.017,0.032,13.076,12.993,0.082,0.63
21,Atwater,37.34777778,-120.6091667,46,151,28168,6.096,6.087,0.009,15.788,15.766,0.022,0.14
22,Auburn,38.89861111,-121.0744444,374,1227,13330,7.166,7.138,0.028,18.56,18.488,0.071,0.38
23,Avalon,33.34083333,-118.3277778,9,30,3728,2.937,2.935,0.002,7.607,7.602,0.005,0.07
24,Avenal,36.00416667,-120.1288889,246,807,13239,19.422,19.422,0,50.302,50.302,0,0
25,Azusa,34.13055556,-117.9069444,186,610,46361,9.669,9.656,0.013,25.042,25.01,0.032,0.13
26,Bakersfield,35.36666667,-119.0166667,,404,347483,143.609,142.164,1.445,371.946,368.204,3.742,1.01
27,BaldwinPark,34.08277778,-117.9716667,114,374,75390,6.786,6.631,0.155,17.575,17.174,0.4,2.28
28,Banning,33.93166667,-116.8975,716,2349,29603,23.099,23.099,0,59.826,59.826,0,0
29,Barstow,34.9,-117.0166667,664,2178,22639,41.394,41.385,0.009,107.209,107.186,0.023,0.02
30,Beaumont,33.92416667,-116.9736111,796,2612,36877,30.926,30.912,0.014,80.098,80.062,0.036,0.04
31,Bell,33.98333333,-118.1833333,43,141,35477,2.62,2.501,0.119,6.783,6.476,0.307,4.53
32,Bellflower,33.88805556,-118.1275,22,71,76616,6.17,6.117,0.053,15.981,15.843,0.138,0.86
33,BellGardens,33.96805556,-118.1561111,37,121,42072,2.463,2.459,0.004,6.379,6.368,0.012,0.18
34,Belmont,37.51805556,-122.2916667,13,43,25835,4.63,4.621,0.009,11.992,11.97,0.022,0.19
35,Belvedere,37.87277778,-122.4644444,11,36,2068,2.406,0.519,1.887,6.234,1.345,4.889,78.42
36,Benicia,38.06333333,-122.1561111,8,26,26997,15.72,12.929,2.791,40.714,33.486,7.229,17.75
37,Berkeley,37.87166667,-122.2727778,200,660,112580,17.696,10.47,7.226,45.833,27.118,18.716,40.83
38,BeverlyHills,34.07305556,-118.3994444,79,259,34290,5.71,5.708,0.002,14.79,14.784,0.006,0.04
39,BigBearLake,34.24138889,-116.9033333,2058,6752,5019,6.534,6.346,0.188,16.923,16.435,0.488,2.88
40,Biggs,39.41388889,-121.7102778,30,98,1707,0.636,0.636,0,1.646,1.646,0,0
41,Bishop,37.3635,-118.3951,,4150,3879,1.911,1.864,0.047,4.949,4.827,0.122,2.5
42,BlueLake,40.88277778,-123.9838889,40,131,1253,0.622,0.592,0.03,1.61,1.533,0.077,4.8
43,Blythe,33.61027778,-114.5963889,83,272,20817,26.972,26.189,0.783,69.855,67.828,2.027,2.9
44,Bradbury,34.14944444,-117.9744444,206,676,1048,1.958,1.957,0.001,5.073,5.07,0.003,0.06
45,Brawley,32.97861111,-115.5302778,-34,-112,24953,7.682,7.682,0,19.895,19.895,0,0
46,Brea,33.92333333,-117.8888889,110,361,39282,12.109,12.078,0.031,31.363,31.283,0.08,0.26
47,Brentwood,37.93194444,-121.6958333,,79,51481,14.805,14.786,0.019,38.345,38.295,0.049,0.13
48,Brisbane,37.68083333,-122.4191667,33,108,4282,20.077,3.096,16.981,51.999,8.017,43.981,84.58
49,Buellton,34.61416667,-120.1938889,109,358,4828,1.583,1.582,0.001,4.099,4.098,0.002,0.04
50,BuenaPark,33.85611111,-118.0041667,23,75,80530,10.553,10.524,0.029,27.332,27.257,0.075,0.28
51,Burbank,34.18027778,-118.3283333,185,607,103340,17.379,17.341,0.038,45.011,44.913,0.098,0.22
52,Burlingame,37.58333333,-122.3636111,12,39,28806,6.057,4.406,1.651,15.686,11.411,4.275,27.25
53,Calabasas,34.13833333,-118.6608333,243,5,23058,13.3,13.249,0.051,34.4,34.27,0.131,0.38
54,Calexico,32.67888889,-115.4988889,,3,38572,8.391,8.391,0,21.733,21.733,0,0
55,CaliforniaCity,35.12583333,-117.9858333,733,2405,14120,203.631,203.523,0.108,527.401,527.122,0.279,0.05
56,Calimesa,33.98805556,-117.0430556,729,2392,7879,14.847,14.847,0,38.454,38.454,0,0
57,Calipatria,33.12555556,-115.5141667,,-180,7705,3.716,3.716,0,9.624,9.624,0,0
58,Calistoga,38.58138889,-122.5827778,106,348,5155,2.613,2.595,0.018,6.769,6.722,0.047,0.7
59,Camarillo,34.23333333,-119.0333333,54,177,65201,19.543,19.528,0.015,50.617,50.577,0.04,0.08
60,Campbell,37.28388889,-121.955,60,197,39349,5.886,5.798,0.088,15.245,15.017,0.228,1.49
61,CanyonLake,33.68416667,-117.2555556,422,1385,10561,4.671,3.928,0.743,12.099,10.173,1.926,15.92
62,Capitola,36.97638889,-121.9547222,4,13,9918,1.676,1.593,0.083,4.34,4.126,0.214,4.92
63,Carlsbad,33.12194444,-117.2969444,16,52,105328,39.11,37.722,1.388,101.295,97.699,3.596,3.55
64,CarmelbytheSea,36.55527778,-121.9233333,,,3722,1.08,1.08,0,2.798,2.798,0,0
65,Carpinteria,34.39916667,-119.5163889,10,33,13040,9.272,2.586,6.686,24.012,6.697,17.315,72.11
66,Carson,33.83972222,-118.2597222,8.2,27,91714,18.968,18.724,0.244,49.127,48.495,0.631,1.29
67,CathedralCity,33.80777778,-116.4647222,100,328,51200,21.756,21.499,0.257,56.349,55.683,0.666,1.18
68,Ceres,37.60138889,-120.9572222,28,92,45417,8.019,8.011,0.008,20.771,20.749,0.022,0.1
69,Cerritos,33.86833333,-118.0675,14,34,49041,8.856,8.725,0.131,22.937,22.598,0.339,1.48
70,Chico,39.74,-121.8355556,74,245,86187,33.095,32.923,0.172,85.716,85.271,0.446,0.52
71,Chino,34.01777778,-117.69,222,728,77983,29.652,29.639,0.013,76.799,76.766,0.033,0.04
72,ChinoHills,33.97527778,-117.7230556,365,1070,75655,44.749,44.681,0.068,115.899,115.723,0.175,0.15
73,Chowchilla,37.11666667,-120.2666667,73,240,18720,7.661,7.661,0,19.842,19.842,0,0
74,ChulaVista,32.62777778,-117.0480556,21,69,243916,52.094,49.631,2.463,134.925,128.545,6.38,4.73
75,CitrusHeights,38.7,-121.2833333,50,164,83301,14.228,14.228,0,36.851,36.851,0,0
76,Claremont,34.11,-117.7197222,,,34926,13.486,13.348,0.138,34.93,34.571,0.358,1.03
77,Clayton,37.94111111,-121.9358333,120,394,10897,3.836,3.836,0,9.935,9.935,0,0
78,Clearlake,38.95833333,-122.6263889,432,1417,15250,10.581,10.129,0.452,27.404,26.234,1.17,4.27
79,Cloverdale,38.79916667,-123.0172222,,335,8618,2.648,2.648,0,6.857,6.857,0,0
80,Clovis,36.82527778,-119.7030556,110,361,101314,23.278,23.278,0,60.289,60.289,0,0
81,Coachella,33.67944444,-116.1744444,-20.74,-66,40704,28.95,28.95,0,74.981,74.981,0,0
82,Coalinga,36.13972222,-120.3602778,205,673,13380,6.15,6.119,0.031,15.927,15.847,0.08,0.5
83,Colfax,39.09722222,-120.9538889,739,2425,1963,1.407,1.407,0,3.645,3.645,0,0
84,Colma,37.67888889,-122.4555556,37,121,1792,1.909,1.909,0,4.945,4.945,0,0
85,Colton,34.065,-117.3216667,306,1004,52154,16.039,15.324,0.715,41.541,39.689,1.852,4.46
86,Colusa,39.21444444,-122.0094444,16,52,5971,1.834,1.834,0,4.751,4.751,0,0
87,Commerce,34.00055556,-118.1547222,43,141,12823,6.538,6.537,0.001,16.933,16.93,0.003,0.02
88,Compton,33.89666667,-118.225,21,69,96455,10.116,10.012,0.104,26.202,25.932,0.27,1.03
89,Concord,37.97805556,-122.0311111,26,85.3,122067,30.546,30.546,0,79.114,79.114,0,0
90,Corcoran,36.09805556,-119.5602778,63,207,25515,7.467,7.467,0,19.338,19.338,0,0
91,Corning,39.92611111,-122.1805556,84,276,17382,3.55,3.55,0,9.193,9.193,0,0
92,Corona,33.86666667,-117.5666667,206,678,158391,38.93,38.825,0.105,100.829,100.558,0.272,0.27
93,Coronado,32.67805556,-117.1725,6,20,24697,32.666,7.931,24.735,84.603,20.541,64.062,75.72
94,CorteMadera,37.92555556,-122.5275,12,39,9253,4.406,3.164,1.242,11.41,8.193,3.216,28.19
95,CostaMesa,33.665,-117.9122222,30,98,109960,15.7,15.654,0.046,40.662,40.543,0.119,0.29
96,Cotati,38.32777778,-122.7091667,34,112,7310,1.883,1.88,0.003,4.877,4.869,0.008,0.17
97,Covina,34.09166667,-117.8791667,170,558,47796,7.041,7.026,0.015,18.236,18.196,0.039,0.22
98,CrescentCity,41.75583333,-124.2016667,,43,7643,2.415,1.963,0.452,6.255,5.085,1.17,18.7
99,Cudahy,33.96416667,-118.1825,37,121,23805,1.226,1.175,0.051,3.175,3.043,0.132,4.15
100,CulverCity,34.00777778,-118.4008333,29,95,38883,5.139,5.111,0.028,13.31,13.238,0.072,0.54
101,Cupertino,37.3175,-122.0419444,72,236,58302,11.257,11.256,0.001,29.156,29.153,0.003,0.01
102,Cypress,33.81833333,-118.0391667,12,39,47802,6.59,6.581,0.009,17.069,17.045,0.024,0.14
103,DalyCity,37.68638889,-122.4683333,57,187,101123,7.664,7.664,0,19.849,19.849,0,0
104,DanaPoint,33.46722222,-117.6980556,44,144,33351,29.484,6.497,22.987,76.364,16.828,59.536,77.96
105,Danville,37.82166667,-122,109,358,42039,18.028,18.028,0,46.693,46.693,0,0
106,Davis,38.55388889,-121.7380556,16,52,65622,9.919,9.887,0.032,25.69,25.608,0.082,0.32
107,Delano,35.76888889,-119.2469444,96,315,53819,14.355,14.303,0.052,37.18,37.044,0.135,0.36
108,DelMar,32.955,-117.2638889,34,112,4161,1.777,1.707,0.07,4.602,4.421,0.181,3.94
109,DelReyOaks,36.59333333,-121.835,25,82,1624,0.483,0.481,0.002,1.251,1.246,0.005,0.42
110,DesertHotSprings,33.96111111,-116.5080556,328,1076,25938,23.642,23.615,0.027,61.233,61.164,0.069,0.11
111,DiamondBar,34.00166667,-117.8208333,212,696,55544,14.885,14.88,0.005,38.552,38.538,0.014,0.04
112,Dinuba,36.545,-119.3891667,102,345,21453,6.47,6.47,0,16.758,16.758,0,0
113,Dixon,38.44916667,-121.8269444,19,62,18351,7.092,6.996,0.096,18.368,18.118,0.249,1.36
114,Dorris,41.965,-121.9188889,1294,4245,939,0.718,0.702,0.016,1.86,1.819,0.041,2.19
115,DosPalos,36.98333333,-120.6333333,362,118,4950,1.35,1.35,0,3.496,3.496,0,0
116,Downey,33.93805556,-118.1308333,36,118,111772,12.568,12.408,0.16,32.551,32.137,0.414,1.27
117,Duarte,34.14027778,-117.9616667,156,512,21321,6.69,6.69,0,17.328,17.328,0,0
118,Dublin,37.70222222,-121.9358333,,367,49890,14.912,14.908,0.004,38.622,38.611,0.011,0.03
119,Dunsmuir,41.22166667,-122.2730556,695,2280,1650,1.735,1.698,0.037,4.494,4.398,0.096,2.14
120,EastPaloAlto,37.46694444,-122.1397222,6,20,28155,2.612,2.505,0.107,6.766,6.488,0.278,4.11
121,Eastvale,33.96305556,-117.5638889,,627,53668,11.445,11.405,0.04,29.644,29.539,0.104,0.35
122,ElCajon,32.79833333,-116.96,133,436,99478,14.433,14.433,0,37.381,37.381,0,0
123,ElCentro,32.8,-115.5666667,-12,-39,42598,11.099,11.081,0.018,28.746,28.7,0.046,0.16
124,ElCerrito,37.91583333,-122.3116667,,69,23549,3.688,3.688,0,9.551,9.551,0,0
